Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Lambeth;E05000423;Herne Hill;;;-10;-10;-10;-10;-3;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Lambeth;E05000424;Knight's Hill;;;9;9;9;9;2;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Lambeth;E05000425;Larkhall;;;6;6;6;6;2;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Lambeth;E05000426;Oval;;;-4;-4;-4;-4;2;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Lambeth;E05000427;Prince's;;;-1;-1;-1;-1;2;;0,6;;;;0;0;0;2;;;;;;;;;;;;;;
Lambeth;E05000428;St Leonard's;;;-2;-2;-2;-2;2;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Lambeth;E05000429;Stockwell;;;4;4;4;4;2;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Lambeth;E05000430;Streatham Hill;;;10;10;10;10;2;;-2,2;;;;0;0;0;-9;;;;;;;;;;;;;;
Lambeth;E05000431;Streatham South;;;-5;-5;-5;-5;2;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Lambeth;E05000432;Streatham Wells;;;-6;-6;-6;-6;2;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Lambeth;E05000433;Thornton;;;4;4;4;4;2;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Lambeth;E05000434;Thurlow Park;;;-2;-2;-2;-2;2;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Lambeth;E05000435;Tulse Hill;;;-4;-4;-4;-4;-3;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Lambeth;E05000436;Vassall;;;-19;-19;-19;-19;2;;5,2;;;;0;0;0;21;;;;;;;;;;;;;;
Lewisham;E05000437;Bellingham;;;-5;-5;-5;-5;3;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Lewisham;E05000438;Blackheath;;;15;15;15;15;0;;-3,8;;;;0;0;0;-15;;;;;;;;;;;;;;
Lewisham;E05000439;Brockley;;;-8;-8;-8;-8;3;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Lewisham;E05000440;Catford South;;;-4;-4;-4;-4;0;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Lewisham;E05000441;Crofton Park;;;-5;-5;-5;-5;3;;1,9;;;;0;0;0;7;;;;;;;;;;;;;;
Lewisham;E05000442;Downham;;;-12;-12;-12;-12;3;;3,8;;;;0;0;0;15;;;;;;;;;;;;;;
Lewisham;E05000443;Evelyn;;;10;10;10;10;3;;-1,9;;;;0;0;0;-7;;;;;;;;;;;;;;
Lewisham;E05000444;Forest Hill;;;-1;-1;-1;-1;3;;1,1;;;;0;0;0;4;;;;;;;;;;;;;;
Lewisham;E05000445;Grove Park;;;4;4;4;4;0;;-1,1;;;;0;0;0;-5;;;;;;;;;;;;;;
Lewisham;E05000446;Ladywell;;;8;8;8;8;3;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Lewisham;E05000447;Lee Green;;;-5;-5;-5;-5;0;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
Lewisham;E05000448;Lewisham Central;;;12;12;12;12;0;;-3,1;;;;0;0;0;-12;;;;;;;;;;;;;;
Lewisham;E05000449;New Cross;;;1;1;1;1;3;;0,4;;;;0;0;0;1;;;;;;;;;;;;;;
Lewisham;E05000450;Perry Vale;;;6;6;6;6;3;;-0,6;;;;0;0;0;-3;;;;;;;;;;;;;;
Lewisham;E05000451;Rushey Green;;;-11;-11;-11;-11;0;;2,8;;;;0;0;0;11;;;;;;;;;;;;;;
Lewisham;E05000452;Sydenham;;;3;3;3;3;3;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Lewisham;E05000453;Telegraph Hill;;;-11;-11;-11;-11;3;;3,4;;;;0;0;0;13;;;;;;;;;;;;;;
Lewisham;E05000454;Whitefoot;;;4;4;4;4;3;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Merton;E05000455;Abbey;;;-12;-12;-12;-12;-6;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Merton;E05000456;Cannon Hill;;;11;11;11;11;0;;-2,9;;;;0;0;0;-12;;;;;;;;;;;;;;
Merton;E05000457;Colliers Wood;;;6;6;6;6;0;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Merton;E05000458;Cricket Green;;;-8;-8;-8;-8;0;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Merton;E05000459;Dundonald;;;1;1;1;1;-6;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Merton;E05000460;Figge's Marsh;;;4;4;4;4;0;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Merton;E05000461;Graveney;;;-7;-7;-7;-7;0;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Merton;E05000462;Hillside;;;0;0;0;0;-6;;-1,5;;;;0;0;0;-6;;;;;;;;;;;;;;
Merton;E05000463;Lavender Fields;;;-9;-9;-9;-9;0;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Merton;E05000464;Longthornton;;;-3;-3;-3;-3;0;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Merton;E05000465;Lower Morden;;;-3;-3;-3;-3;0;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Merton;E05000466;Merton Park;;;13;13;13;13;0;;-3,5;;;;0;0;0;-14;;;;;;;;;;;;;;
Merton;E05000467;Pollards Hill;;;3;3;3;3;0;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Merton;E05000468;Ravensbury;;;-8;-8;-8;-8;0;;1,9;;;;0;0;0;7;;;;;;;;;;;;;;
Merton;E05000469;Raynes Park;;;1;1;1;1;0;;-0,4;;;;0;0;0;-1;;;;;;;;;;;;;;
Merton;E05000470;St Helier;;;3;3;3;3;0;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Merton;E05000471;Trinity;;;-6;-6;-6;-6;-6;;0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Merton;E05000472;Village;;;5;5;5;5;-6;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Merton;E05000473;West Barnes;;;7;7;7;7;0;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Merton;E05000474;Wimbledon Park;;;4;4;4;4;-6;;-2,5;;;;0;0;0;-10;;;;;;;;;;;;;;
Newham;E05000475;Beckton;;;0;0;0;0;23;;5,7;;;;0;0;0;23;;;;;;;;;;;;;;
Newham;E05000476;Boleyn;;;-4;-4;-4;-4;17;;5,0;;;;0;0;0;20;;;;;;;;;;;;;;
Newham;E05000477;Canning Town North;;;-14;-14;-14;-14;23;;9,2;;;;0;0;0;37;;;;;;;;;;;;;;
Newham;E05000478;Canning Town South;;;-2;-2;-2;-2;23;;6,3;;;;0;0;0;25;;;;;;;;;;;;;;
Newham;E05000479;Custom House;;;8;8;8;8;23;;3,7;;;;0;0;0;15;;;;;;;;;;;;;;
Newham;E05000480;East Ham Central;;;8;8;8;8;16;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Newham;E05000481;East Ham North;;;6;6;6;6;16;;2,4;;;;0;0;0;10;;;;;;;;;;;;;;
Newham;E05000482;East Ham South;;;-7;-7;-7;-7;16;;5,7;;;;0;0;0;23;;;;;;;;;;;;;;
Newham;E05000483;Forest Gate North;;;0;0;0;0;-1;;-0,1;;;;0;0;0;-1;;;;;;;;;;;;;;
Newham;E05000484;Forest Gate South;;;13;13;13;13;-1;;-3,5;;;;0;0;0;-14;;;;;;;;;;;;;;
Newham;E05000485;Green Street East;;;6;6;6;6;17;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Newham;E05000486;Green Street West;;;-9;-9;-9;-9;17;;6,4;;;;0;0;0;26;;;;;;;;;;;;;;
Newham;E05000487;Little Ilford;;;5;5;5;5;16;;2,6;;;;0;0;0;10;;;;;;;;;;;;;;
Newham;E05000488;Manor Park;;;8;8;8;8;16;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Newham;E05000489;Plaistow North;;;-5;-5;-5;-5;17;;5,5;;;;0;0;0;22;;;;;;;;;;;;;;
Newham;E05000490;Plaistow South;;;15;15;15;15;17;;0,4;;;;0;0;0;1;;;;;;;;;;;;;;
Newham;E05000491;Royal Docks;;;17;17;17;17;23;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Newham;E05000492;Stratford and New Town;;;-8;-8;-8;-8;-1;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Newham;E05000493;Wall End;;;12;12;12;12;16;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Newham;E05000494;West Ham;;;9;9;9;9;-1;;-2,4;;;;0;0;0;-10;;;;;;;;;;;;;;
Redbridge;E05000495;Aldborough;;;-2;-2;-2;-2;5;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Redbridge;E05000496;Barkingside;;;0;0;0;0;5;;1,0;;;;0;0;0;4;;;;;;;;;;;;;;
Redbridge;E05000497;Bridge;;;-12;-12;-12;-12;6;;4,5;;;;0;0;0;18;;;;;;;;;;;;;;
Redbridge;E05000498;Chadwell;;;7;7;7;7;5;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Redbridge;E05000499;Church End;;;4;4;4;4;6;;0,6;;;;0;0;0;3;;;;;;;;;;;;;;
Redbridge;E05000500;Clayhall;;;8;8;8;8;5;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Redbridge;E05000501;Clementswood;;;3;3;3;3;9;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
Redbridge;E05000502;Cranbrook;;;10;10;10;10;9;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Redbridge;E05000503;Fairlop;;;3;3;3;3;6;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Redbridge;E05000504;Fullwell;;;-27;-27;-27;-27;6;;8,3;;;;0;0;0;33;;;;;;;;;;;;;;
Redbridge;E05000505;Goodmayes;;;10;10;10;10;5;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Redbridge;E05000506;Hainault;;;11;11;11;11;6;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Redbridge;E05000507;Loxford;;;8;8;8;8;9;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Redbridge;E05000508;Mayfield;;;1;1;1;1;9;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Redbridge;E05000509;Monkhams;;;8;8;8;8;6;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Redbridge;E05000510;Newbury;;;-5;-5;-5;-5;5;;2,4;;;;0;0;0;10;;;;;;;;;;;;;;
Redbridge;E05000511;Roding;;;3;3;3;3;6;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Redbridge;E05000512;Seven Kings;;;12;12;12;12;5;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Redbridge;E05000513;Snaresbrook;;;3;3;3;3;6;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Redbridge;E05000514;Valentines;;;-1;-1;-1;-1;9;;2,4;;;;0;0;0;10;;;;;;;;;;;;;;
Redbridge;E05000515;Wanstead;;;19;19;19;19;6;;-3,1;;;;0;0;0;-12;;;;;;;;;;;;;;
Richmond upon Thames;E05000516;Barnes;;;10;10;10;10;-2;;-3,0;;;;0;0;0;-12;;;;;;;;;;;;;;
Richmond upon Thames;E05000517;East Sheen;;;6;6;6;6;-2;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Richmond upon Thames;E05000518;Fulwell and Hampton Hill;;;4;4;4;4;-6;;-2,4;;;;0;0;0;-9;;;;;;;;;;;;;;
Richmond upon Thames;E05000519;Ham, Petersham and Richmond Riverside;;;-10;-10;-10;-10;-2;;2,1;;;;0;0;0;8;;;;;;;;;;;;;;
Richmond upon Thames;E05000520;Hampton;;;-5;-5;-5;-5;-6;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Richmond upon Thames;E05000521;Hampton North;;;-8;-8;-8;-8;-6;;0,6;;;;0;0;0;2;;;;;;;;;;;;;;
Richmond upon Thames;E05000522;Hampton Wick;;;12;12;12;12;-6;;-4,3;;;;0;0;0;-17;;;;;;;;;;;;;;
Richmond upon Thames;E05000523;Heathfield;;;16;16;16;16;-6;;-5,6;;;;0;0;0;-22;;;;;;;;;;;;;;
Richmond upon Thames;E05000524;Kew;;;9;9;9;9;-2;;-2,7;;;;0;0;0;-11;;;;;;;;;;;;;;
Richmond upon Thames;E05000525;Mortlake and Barnes Common;;;22;22;22;22;-2;;-5,9;;;;0;0;0;-24;;;;;;;;;;;;;;
Richmond upon Thames;E05000526;North Richmond;;;7;7;7;7;-2;;-2,3;;;;0;0;0;-9;;;;;;;;;;;;;;
Richmond upon Thames;E05000527;St Margarets and North Twickenham;;;-3;-3;-3;-3;-6;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Richmond upon Thames;E05000528;South Richmond;;;-4;-4;-4;-4;-2;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Richmond upon Thames;E05000529;South Twickenham;;;5;5;5;5;-6;;-2,7;;;;0;0;0;-11;;;;;;;;;;;;;;
Richmond upon Thames;E05000530;Teddington;;;8;8;8;8;-6;;-3,5;;;;0;0;0;-14;;;;;;;;;;;;;;
Richmond upon Thames;E05000531;Twickenham Riverside;;;-1;-1;-1;-1;-6;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Richmond upon Thames;E05000532;West Twickenham;;;1;1;1;1;-6;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Richmond upon Thames;E05000533;Whitton;;;5;5;5;5;-6;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Southwark;E05000534;Brunswick Park;;;1;1;1;1;0;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Southwark;E05000535;Camberwell Green;;;-3;-3;-3;-3;0;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Southwark;E05000536;Cathedrals;;;-13;-13;-13;-13;3;;3,9;;;;0;0;0;16;;;;;;;;;;;;;;
Southwark;E05000537;Chaucer;;;14;14;14;14;3;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Southwark;E05000538;College;;;-6;-6;-6;-6;0;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Southwark;E05000539;East Dulwich;;;4;4;4;4;0;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Southwark;E05000540;East Walworth;;;-10;-10;-10;-10;3;;3,2;;;;0;0;0;13;;;;;;;;;;;;;;
Southwark;E05000541;Faraday;;;9;9;9;9;3;;-1,6;;;;0;0;0;-7;;;;;;;;;;;;;;
Southwark;E05000542;Grange;;;4;4;4;4;17;;3,5;;;;0;0;0;14;;;;;;;;;;;;;;
Southwark;E05000543;Livesey;;;1;1;1;1;-2;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Southwark;E05000544;Newington;;;-2;-2;-2;-2;3;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Southwark;E05000545;Nunhead;;;10;10;10;10;-2;;-3,2;;;;0;0;0;-13;;;;;;;;;;;;;;
Southwark;E05000546;Peckham;;;2;2;2;2;-2;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Southwark;E05000547;Peckham Rye;;;1;1;1;1;-2;;-0,9;;;;0;0;0;-3;;;;;;;;;;;;;;
Southwark;E05000548;Riverside;;;23;23;23;23;17;;-1,5;;;;0;0;0;-6;;;;;;;;;;;;;;
Southwark;E05000549;Rotherhithe;;;-3;-3;-3;-3;17;;5,2;;;;0;0;0;21;;;;;;;;;;;;;;
Southwark;E05000550;South Bermondsey;;;20;20;20;20;17;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Southwark;E05000551;South Camberwell;;;-7;-7;-7;-7;0;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Southwark;E05000552;Surrey Docks;;;9;9;9;9;17;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Southwark;E05000553;The Lane;;;-3;-3;-3;-3;-2;;0,1;;;;0;0;0;1;;;;;;;;;;;;;;
Southwark;E05000554;Village;;;3;3;3;3;0;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Sutton;E05000555;Beddington North;;;10;10;10;10;7;;-0,6;;;;0;0;0;-2;;;;;;;;;;;;;;
Sutton;E05000556;Beddington South;;;-1;-1;-1;-1;7;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Sutton;E05000557;Belmont;;;18;18;18;18;6;;-3,0;;;;0;0;0;-12;;;;;;;;;;;;;;
Sutton;E05000558;Carshalton Central;;;2;2;2;2;7;;1,4;;;;0;0;0;5;;;;;;;;;;;;;;
Sutton;E05000559;Carshalton South and Clockhouse;;;15;15;15;15;7;;-1,9;;;;0;0;0;-8;;;;;;;;;;;;;;
Sutton;E05000560;Cheam;;;6;6;6;6;6;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Sutton;E05000561;Nonsuch;;;9;9;9;9;8;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Sutton;E05000562;St Helier;;;5;5;5;5;8;;0,8;;;;0;0;0;3;;;;;;;;;;;;;;
Sutton;E05000563;Stonecot;;;14;14;14;14;8;;-1,5;;;;0;0;0;-6;;;;;;;;;;;;;;
Sutton;E05000564;Sutton Central;;;7;7;7;7;6;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Sutton;E05000565;Sutton North;;;10;10;10;10;6;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Sutton;E05000566;Sutton South;;;10;10;10;10;6;;-1,1;;;;0;0;0;-4;;;;;;;;;;;;;;
Sutton;E05000567;Sutton West;;;13;13;13;13;6;;-1,6;;;;0;0;0;-6;;;;;;;;;;;;;;
Sutton;E05000568;The Wrythe;;;-1;-1;-1;-1;8;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Sutton;E05000569;Wallington North;;;11;11;11;11;7;;-0,8;;;;0;0;0;-3;;;;;;;;;;;;;;
Sutton;E05000570;Wallington South;;;10;10;10;10;7;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Sutton;E05000571;Wandle Valley;;;12;12;12;12;8;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Sutton;E05000572;Worcester Park;;;12;12;12;12;8;;-1,0;;;;0;0;0;-4;;;;;;;;;;;;;;
Tower Hamlets;E05000573;Bethnal Green North;;;14;14;14;14;8;;-1,6;;;;0;0;0;-6;;;;;;;;;;;;;;
Tower Hamlets;E05000574;Bethnal Green South;;;1;1;1;1;8;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Tower Hamlets;E05000575;Blackwall and Cubitt Town;;;6;6;6;6;35;;7,3;;;;0;0;0;29;;;;;;;;;;;;;;
Tower Hamlets;E05000576;Bow East;;;6;6;6;6;3;;-0,7;;;;0;0;0;-3;;;;;;;;;;;;;;
Tower Hamlets;E05000577;Bow West;;;11;11;11;11;3;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Tower Hamlets;E05000578;Bromley-by-Bow;;;-16;-16;-16;-16;3;;4,9;;;;0;0;0;20;;;;;;;;;;;;;;
Tower Hamlets;E05000579;East India and Lansbury;;;3;3;3;3;35;;8,1;;;;0;0;0;33;;;;;;;;;;;;;;
Tower Hamlets;E05000580;Limehouse;;;20;20;20;20;35;;3,7;;;;0;0;0;15;;;;;;;;;;;;;;
Tower Hamlets;E05000581;Mile End and Globe Town;;;14;14;14;14;8;;-1,3;;;;0;0;0;-5;;;;;;;;;;;;;;
Tower Hamlets;E05000582;Mile End East;;;1;1;1;1;3;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Tower Hamlets;E05000583;Millwall;;;5;5;5;5;35;;7,6;;;;0;0;0;30;;;;;;;;;;;;;;
Tower Hamlets;E05000584;St Dunstan's and Stepney Green;;;-4;-4;-4;-4;19;;5,9;;;;0;0;0;24;;;;;;;;;;;;;;
Tower Hamlets;E05000585;St Katharine's and Wapping;;;0;0;0;0;19;;4,8;;;;0;0;0;19;;;;;;;;;;;;;;
Tower Hamlets;E05000586;Shadwell;;;11;11;11;11;19;;2,0;;;;0;0;0;8;;;;;;;;;;;;;;
Tower Hamlets;E05000587;Spitalfields and Banglatown;;;-16;-16;-16;-16;8;;5,9;;;;0;0;0;24;;;;;;;;;;;;;;
Tower Hamlets;E05000588;Weavers;;;3;3;3;3;8;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Tower Hamlets;E05000589;Whitechapel;;;2;2;2;2;19;;4,4;;;;0;0;0;18;;;;;;;;;;;;;;
Waltham Forest;E05000590;Cann Hall;;;5;5;5;5;4;;-0,2;;;;0;0;0;-1;;;;;;;;;;;;;;
Waltham Forest;E05000591;Cathall;;;-2;-2;-2;-2;4;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Waltham Forest;E05000592;Chapel End;;;4;4;4;4;5;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Waltham Forest;E05000593;Chingford Green;;;13;13;13;13;5;;-2,0;;;;0;0;0;-8;;;;;;;;;;;;;;
Waltham Forest;E05000594;Endlebury;;;-6;-6;-6;-6;5;;2,7;;;;0;0;0;11;;;;;;;;;;;;;;
Waltham Forest;E05000595;Forest;;;1;1;1;1;4;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Waltham Forest;E05000596;Grove Green;;;-8;-8;-8;-8;4;;3,0;;;;0;0;0;12;;;;;;;;;;;;;;
Waltham Forest;E05000597;Hale End and Highams Park;;;3;3;3;3;5;;0,4;;;;0;0;0;2;;;;;;;;;;;;;;
Waltham Forest;E05000598;Hatch Lane;;;0;0;0;0;5;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Waltham Forest;E05000599;High Street;;;-2;-2;-2;-2;5;;1,8;;;;0;0;0;7;;;;;;;;;;;;;;
Waltham Forest;E05000600;Higham Hill;;;12;12;12;12;5;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Waltham Forest;E05000601;Hoe Street;;;-5;-5;-5;-5;5;;2,5;;;;0;0;0;10;;;;;;;;;;;;;;
Waltham Forest;E05000602;Larkswood;;;6;6;6;6;5;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Waltham Forest;E05000603;Lea Bridge;;;8;8;8;8;4;;-0,9;;;;0;0;0;-4;;;;;;;;;;;;;;
Waltham Forest;E05000604;Leyton;;;5;5;5;5;4;;-0,1;;;;0;0;0;-1;;;;;;;;;;;;;;
Waltham Forest;E05000605;Leytonstone;;;-12;-12;-12;-12;4;;4,1;;;;0;0;0;16;;;;;;;;;;;;;;
Waltham Forest;E05000606;Markhouse;;;12;12;12;12;5;;-1,7;;;;0;0;0;-7;;;;;;;;;;;;;;
Waltham Forest;E05000607;Valley;;;2;2;2;2;5;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Waltham Forest;E05000608;William Morris;;;-8;-8;-8;-8;5;;3,3;;;;0;0;0;13;;;;;;;;;;;;;;
Waltham Forest;E05000609;Wood Street;;;4;4;4;4;5;;0,3;;;;0;0;0;1;;;;;;;;;;;;;;
Wandsworth;E05000610;Balham;;;-8;-8;-8;-8;-9;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Wandsworth;E05000611;Bedford;;;-12;-12;-12;-12;-2;;2,4;;;;0;0;0;10;;;;;;;;;;;;;;
Wandsworth;E05000612;Earlsfield;;;-11;-11;-11;-11;-2;;2,2;;;;0;0;0;9;;;;;;;;;;;;;;
Wandsworth;E05000613;East Putney;;;9;9;9;9;15;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Wandsworth;E05000614;Fairfield;;;0;0;0;0;15;;3,9;;;;0;0;0;15;;;;;;;;;;;;;;
Wandsworth;E05000615;Furzedown;;;-7;-7;-7;-7;-2;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Wandsworth;E05000616;Graveney;;;-14;-14;-14;-14;-2;;3,1;;;;0;0;0;13;;;;;;;;;;;;;;
Wandsworth;E05000617;Latchmere;;;-16;-16;-16;-16;-9;;1,5;;;;0;0;0;6;;;;;;;;;;;;;;
Wandsworth;E05000618;Nightingale;;;-1;-1;-1;-1;-2;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Wandsworth;E05000619;Northcote;;;-2;-2;-2;-2;-9;;-1,8;;;;0;0;0;-7;;;;;;;;;;;;;;
Wandsworth;E05000620;Queenstown;;;-13;-13;-13;-13;-9;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Wandsworth;E05000621;Roehampton;;;-13;-13;-13;-13;15;;7,2;;;;0;0;0;29;;;;;;;;;;;;;;
Wandsworth;E05000622;St Mary's Park;;;17;17;17;17;-9;;-6,6;;;;0;0;0;-26;;;;;;;;;;;;;;
Wandsworth;E05000623;Shaftesbury;;;0;0;0;0;-9;;-2,3;;;;0;0;0;-9;;;;;;;;;;;;;;
Wandsworth;E05000624;Southfields;;;0;0;0;0;15;;3,8;;;;0;0;0;15;;;;;;;;;;;;;;
Wandsworth;E05000625;Thamesfield;;;9;9;9;9;15;;1,6;;;;0;0;0;6;;;;;;;;;;;;;;
Wandsworth;E05000626;Tooting;;;-7;-7;-7;-7;-2;;1,2;;;;0;0;0;5;;;;;;;;;;;;;;
Wandsworth;E05000627;Wandsworth Common;;;-3;-3;-3;-3;-2;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Wandsworth;E05000628;West Hill;;;9;9;9;9;15;;1,7;;;;0;0;0;7;;;;;;;;;;;;;;
Wandsworth;E05000629;West Putney;;;-8;-8;-8;-8;15;;5,9;;;;0;0;0;24;;;;;;;;;;;;;;
Westminster;E05000630;Abbey Road;;;19;19;19;19;16;;-0,9;;;;0;0;0;-3;;;;;;;;;;;;;;
Westminster;E05000631;Bayswater;;;13;13;13;13;13;;0,0;;;;0;0;0;0;;;;;;;;;;;;;;
Westminster;E05000632;Bryanston and Dorset Square;;;15;15;15;15;13;;-0,5;;;;0;0;0;-2;;;;;;;;;;;;;;
Westminster;E05000633;Churchill;;;13;13;13;13;16;;0,7;;;;0;0;0;3;;;;;;;;;;;;;;
Westminster;E05000634;Church Street;;;16;16;16;16;16;;-0,1;;;;0;0;0;0;;;;;;;;;;;;;;
Westminster;E05000635;Harrow Road;;;12;12;12;12;16;;0,9;;;;0;0;0;3;;;;;;;;;;;;;;
Westminster;E05000636;Hyde Park;;;3;3;3;3;13;;2,5;;;;0;0;0;10;;;;;;;;;;;;;;
Westminster;E05000637;Knightsbridge and Belgravia;;;-13;-13;-13;-13;16;;7,2;;;;0;0;0;29;;;;;;;;;;;;;;
Westminster;E05000638;Lancaster Gate;;;9;9;9;9;13;;0,9;;;;0;0;0;4;;;;;;;;;;;;;;
Westminster;E05000639;Little Venice;;;17;17;17;17;16;;-0,3;;;;0;0;0;-1;;;;;;;;;;;;;;
Westminster;E05000640;Maida Vale;;;1;1;1;1;16;;3,6;;;;0;0;0;15;;;;;;;;;;;;;;
