Theme;Health;Health;Health;Economic security;Safety;Safety;Education;Children;Families;Access;Environ-ment;Happiness;;;;;;;;;;;;;;;;;;;;
Indicator name;Life Expectancy;Childhood Obesity;Incapacity Benefits claimant rate;Unemployment rate;Crime rate;Deliberate Fires;GCSE point scores;Unauthorised Pupil Absence;Children in out-of-work households;Public Transport Accessibility Scores;Access to public open space & nature;Subjective well-being average score;;;;;;;;;;;;;;;;;;;;
Importance;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;
"
10 = very important and 
0 = not important at all";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Overall well-being probability score (E&W = 0);;;;;;;;;;;;;;;;;;;;;;;;;;;
Brent;E05000090;Fryent;;;-15;-15;-15;-15;-13;;0,5;;;;0;0;0;2;;;;;;;;;;;;;;
Brent;E05000091;Harlesden;;;13;13;13;13;-13;;-6,4;;;;0;0;0;-26;;;;;;;;;;;;;;
Brent;E05000092;Kensal Green;;;-14;-14;-14;-14;-13;;0,2;;;;0;0;0;1;;;;;;;;;;;;;;
Brent;E05000093;Kenton;;;-7;-7;-7;-7;-13;;-1,4;;;;0;0;0;-6;;;;;;;;;;;;;;
Brent;E05000094;Kilburn;;;-20;-20;-20;-20;-1;;4,7;;;;0;0;0;19;;;;;;;;;;;;;;
Brent;E05000095;Mapesbury;;;10;10;10;10;-1;;-2,8;;;;0;0;0;-11;;;;;;;;;;;;;;
Brent;E05000096;Northwick Park;;;-11;-11;-11;-11;-13;;-0,6;;;;0;0;0;-3;;;;;;;;;;;;;;
Brent;E05000097;Preston;;;-8;-8;-8;-8;-13;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Brent;E05000098;Queens Park;;;-8;-8;-8;-8;-1;;1,9;;;;0;0;0;8;;;;;;;;;;;;;;
Brent;E05000099;Queensbury;;;-8;-8;-8;-8;-13;;-1,2;;;;0;0;0;-5;;;;;;;;;;;;;;
Brent;E05000100;Stonebridge;;;-18;-18;-18;-18;-13;;1,3;;;;0;0;0;5;;;;;;;;;;;;;;
