Code;Ward name;LAD code;Borough;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
E05000083;Sidcup;E09000004;Bexley;35450;35740;37170;39310;39870;42230;42840;45820;45740;47380;49000;49970;;29650;29980;30750;32480;32450;34260;35190;36220;37730;38690;40510;41220
E05000084;Thamesmead East;E09000004;Bexley;26120;26440;27610;29330;29870;31770;32360;34740;34810;36190;37550;38410;;22230;22550;23220;24610;24690;26170;26980;27860;29120;29950;31460;32100
E05000085;Alperton;E09000005;Brent;28030;28120;29120;30690;31030;32780;33190;35440;35340;36580;37810;38550;;23150;23280;23770;25000;24900;26200;26850;27580;28690;29380;30740;31250
E05000086;Barnhill;E09000005;Brent;30780;30940;32110;33890;34320;36290;36780;39290;39190;40570;41930;42740;;25340;25550;26140;27550;27480;28960;29710;30540;31780;32550;34060;34630
E05000087;Brondesbury Park;E09000005;Brent;34970;35300;36760;38920;39520;41900;42560;45550;45510;47190;48850;49860;;28510;28860;29630;31320;31330;33110;34040;35060;36550;37510;39310;40020
E05000088;Dollis Hill;E09000005;Brent;28150;28220;29200;30740;31060;32770;33150;35340;35200;36380;37550;38230;;23240;23360;23830;25050;24920;26200;26810;27510;28570;29220;30520;30990
E05000089;Dudden Hill;E09000005;Brent;30520;30610;31680;33360;33690;35540;35930;38290;38100;39350;40580;41280;;25140;25280;25810;27130;27000;28380;29040;29780;30920;31600;32990;33470
E05000090;Fryent;E09000005;Brent;30320;30610;31900;33800;34360;36480;37110;39800;39850;41410;42960;43960;;24980;25290;25980;27480;27510;29110;29970;30920;32290;33210;34870;35590
E05000091;Harlesden;E09000005;Brent;23920;24070;25000;26420;26780;28360;28780;30780;30740;31850;32950;33620;;19660;19820;20290;21390;21350;22520;23110;23780;24760;25380;26570;27030
E05000092;Kensal Green;E09000005;Brent;30200;30430;31650;33470;33960;35980;36520;39080;39040;40470;41890;42750;;24890;25140;25780;27220;27200;28720;29510;30380;31660;32480;34030;34640
